23259
21-143	Abramów
05-281	Adampol
21-412	Adamów
42-270	Adamów
22-442	Adamów k. Zamoœcia
37-534	Adamówka
08-322	Adolfów
37-122	Albigowa
26-337	Aleksandrów K. Opoczna
87-700	Aleksandrów Kujawski
23-408	Aleksandrów k. Bi³goraja
95-070	Aleksandrów £ódzki
95-069	Aleksandrów £ódzki
26-720	Aleksandrówka
32-566	Alwernia
95-020	Andrespol
34-120	Andrychów
34-121	Andrychów
07-305	Andrzejewo k. Czy¿ewa
26-720	Andrzejówka
23-235	Annopol
26-720	Annów
62-862	Antonin
26-720	Antoniówka
16-300	Augustów
87-510	Baba
62-620	Babiak
32-551	Babice k. Alwerni
66-110	Babimost
48-120	Baborów
09-130	Baboszewo
22-107	Bachus
36-068	Bachórz
37-752	Bachórzec
66-432	Baczyna
16-423	Baka³arzewo
06-326	Baku³a
32-083	Balice k. Krakowa
38-606	Baligród
74-110	Banie
19-520	Banie Mazurskie
80-297	Banino
05-532	Baniocha
06-320	Baranowo k. Ostro³êki
63-604	Baranów
96-314	Baranów K. Grodziska Maz.
39-450	Baranów Sandomierski
24-105	Baranów n. Wieprzem
11-410	Barciany
33-342	Barcice
88-190	Barcin
88-193	Barcin
77-232	Barcino
11-010	Barczewo
57-256	Bardo
62-300	Bardo
16-320	Barg³ów
77-314	Barkowo K. Cz³uchowa
74-320	Barlinek
83-260	Bartel Wielki
14-120	Bartki
42-270	Bartkowice
87-321	Bartniczka
13-100	Bartoszki
11-200	Bartoszyce
11-201	Bartoszyce
11-204	Bartoszyce
87-821	Baruchowo
78-460	Barwice k. Szczecinka
83-225	Bar³o¿no
37-621	Basznia Dolna
23-320	Batorz
27-552	Baækowice
27-423	Ba³tów
99-311	Bedlno
28-512	Bejsce
05-622	Belsk Du¿y k. Grójca
64-231	Belêcin
12-207	Bemowo Piskie
38-524	Besko
43-512	Bestwina
11-222	Bezledy
97-400	Be³chatów
97-406	Be³chatów
97-407	Be³chatów
97-408	Be³chatów
97-409	Be³chatów
97-413	Be³chatów
99-418	Be³chów
73-153	Be³czna
19-204	Be³da
95-072	Be³dów
44-237	Be³k
22-670	Be³¿ec
24-200	Be³¿yce
32-828	Biadoliny Szlacheckie
17-230	Bialowieza
48-210	Bia³a
14-260	Bia³a Góra
09-411	Bia³a K. P³ocka
95-001	Bia³a K. Zgierza
12-230	Bia³a Piska
21-500	Bia³a Podlaska
96-230	Bia³a Rawska
64-904	Bia³a k. Trzcianki Lubuskiej
98-350	Bia³a k. Wielunia
26-307	Bia³aczów
19-212	Bia³aszewo
86-005	Bia³e B³ota
34-405	Bia³ka Tatrzañska
36-031	Bia³ka k. Rzeszowa
26-800	Bia³obrzegi
05-127	Bia³obrzegi k. Zegrza
37-114	Bia³obrzegi k. £añcuta
78-200	Bia³ogard
78-201	Bia³ogard
78-202	Bia³ogard
78-210	Bia³ogard
22-135	Bia³opole
09-514	Bia³otarsk
17-230	Bia³owie¿a
67-221	Bia³o³êka
89-340	Bia³oœliwie
78-425	Bia³y Bór
34-425	Bia³y Dunajec
57-140	Bia³y Koœció³
26-720	Bia³y £ug
15-190	Bia³ystok
15-959	Bia³ystok
15-001	Bia³ystok
15-002	Bia³ystok
15-003	Bia³ystok
15-004	Bia³ystok
15-005	Bia³ystok
15-006	Bia³ystok
15-007	Bia³ystok
15-008	Bia³ystok
15-010	Bia³ystok
15-011	Bia³ystok
15-013	Bia³ystok
15-014	Bia³ystok
15-016	Bia³ystok
15-017	Bia³ystok
15-019	Bia³ystok
15-021	Bia³ystok
15-023	Bia³ystok
15-024	Bia³ystok
15-025	Bia³ystok
15-026	Bia³ystok
15-027	Bia³ystok
15-028	Bia³ystok
15-029	Bia³ystok
15-030	Bia³ystok
15-032	Bia³ystok
15-034	Bia³ystok
15-035	Bia³ystok
15-037	Bia³ystok
15-038	Bia³ystok
15-040	Bia³ystok
15-042	Bia³ystok
15-044	Bia³ystok
15-045	Bia³ystok
15-046	Bia³ystok
15-047	Bia³ystok
